Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,49.79999923706055,51.099998474121094,47.75,50.75,6511618,0,0
2022-03-02,49.79999923706055,50.75,49.0,50.25,4423481,0,0
2022-03-03,51.20000076293945,52.45000076293945,51.0,51.650001525878906,5200564,0,0
2022-03-04,51.45000076293945,51.849998474121094,50.20000076293945,51.099998474121094,4357376,0,0
2022-03-07,48.54999923706055,50.0,48.54999923706055,48.70000076293945,7542675,0,0
2022-03-08,48.70000076293945,50.25,48.650001525878906,50.0,3934743,0,0
2022-03-09,51.75,52.5,51.0,52.5,4630516,0,0
2022-03-10,55.099998474121094,55.099998474121094,55.099998474121094,55.099998474121094,3681794,0,0
2022-03-11,55.099998474121094,57.0,52.349998474121094,55.45000076293945,8401751,0,0
2022-03-14,57.0,57.0,54.5,55.599998474121094,4640510,0,0
2022-03-15,56.599998474121094,56.599998474121094,53.900001525878906,54.400001525878906,4745850,0,0
2022-03-16,55.0,55.5,54.0,54.20000076293945,3514883,0,0
2022-03-17,54.29999923706055,56.0,51.75,54.650001525878906,35676564,0,0
2022-03-21,53.400001525878906,53.79999923706055,52.5,52.849998474121094,4960335,0,0
2022-03-22,53.0,53.0,51.400001525878906,52.79999923706055,2944445,0,0
2022-03-23,53.0,53.25,52.45000076293945,52.650001525878906,2783034,0,0
2022-03-24,52.5,52.650001525878906,51.5,52.150001525878906,2452206,0,0
2022-03-25,52.150001525878906,53.0,52.099998474121094,52.20000076293945,2796099,0,0
