Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,152.25,164.89999389648438,152.25,163.4499969482422,17079977,0,0
2022-02-28,162.4499969482422,169.9499969482422,160.5500030517578,169.5500030517578,20872239,0,0
2022-03-02,171.0,185.64999389648438,171.0,184.8000030517578,72648396,0,0
2022-03-03,189.60000610351562,197.75,186.85000610351562,188.9499969482422,74050073,0,0
2022-03-04,188.9499969482422,191.0,180.5,181.0,36095156,0,0
2022-03-07,185.9499969482422,192.0,181.6999969482422,188.6999969482422,41642776,0,0
2022-03-08,189.0,191.6999969482422,186.60000610351562,189.14999389648438,22940456,0,0
2022-03-09,190.0,190.60000610351562,185.60000610351562,186.64999389648438,13870658,0,0
2022-03-10,184.0,184.0,177.0500030517578,178.9499969482422,30890343,0,0
2022-03-11,181.0,182.5,179.25,181.75,14663558,0,0
2022-03-14,181.0,182.14999389648438,177.85000610351562,180.35000610351562,8306420,0,0
2022-03-15,179.89999389648438,180.0,171.5,172.89999389648438,14074860,0,0
2022-03-16,173.0,177.8000030517578,172.89999389648438,176.89999389648438,11846738,0,0
2022-03-17,179.0,180.0,175.5,176.5500030517578,20052773,0,0
2022-03-21,177.85000610351562,186.35000610351562,177.5,182.3000030517578,20271556,0,0
2022-03-22,183.64999389648438,185.8000030517578,180.5,183.35000610351562,12372751,0,0
2022-03-23,182.60000610351562,184.25,179.3000030517578,183.0500030517578,13731315,0,0
2022-03-24,183.6999969482422,188.5,183.3000030517578,187.39999389648438,16323203,0,0
2022-03-25,187.39999389648438,188.89999389648438,184.60000610351562,186.10000610351562,10020092,0,0
