Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,13.800000190734863,13.800000190734863,12.75,13.350000381469727,20666,0,0
2022-03-02,13.350000381469727,13.350000381469727,12.75,13.0,11983,0,0
2022-03-03,13.399999618530273,13.550000190734863,12.75,13.5,41706,0,0
2022-03-04,13.850000381469727,14.149999618530273,13.050000190734863,13.899999618530273,47556,0,0
2022-03-07,13.899999618530273,13.899999618530273,13.25,13.25,23119,0,0
2022-03-08,13.25,13.350000381469727,12.600000381469727,12.600000381469727,31588,0,0
2022-03-09,12.850000381469727,13.199999809265137,12.0,13.149999618530273,39495,0,0
2022-03-10,13.300000190734863,13.800000190734863,12.899999618530273,13.199999809265137,69120,0,0
2022-03-11,13.399999618530273,13.550000190734863,12.649999618530273,13.050000190734863,32051,0,0
2022-03-14,13.399999618530273,13.649999618530273,12.600000381469727,12.850000381469727,15107,0,0
2022-03-15,12.5,13.25,12.25,12.5,52985,0,0
2022-03-16,12.899999618530273,13.100000381469727,12.649999618530273,12.949999809265137,61421,0,0
2022-03-17,13.25,13.550000190734863,12.649999618530273,13.550000190734863,40526,0,0
2022-03-21,14.199999809265137,14.199999809265137,12.899999618530273,13.0,72875,0,0
2022-03-22,13.100000381469727,13.600000381469727,12.350000381469727,12.899999618530273,83710,0,0
2022-03-23,12.899999618530273,13.300000190734863,12.699999809265137,12.850000381469727,40142,0,0
2022-03-24,13.0,13.350000381469727,12.5,12.699999809265137,28491,0,0
2022-03-25,13.199999809265137,13.199999809265137,12.25,12.5,60768,0,0
