Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,2924.0,2924.949951171875,2865.449951171875,2910.5,565161,0,0
2022-03-02,2895.300048828125,2905.449951171875,2836.14990234375,2857.25,729807,0,0
2022-03-03,2897.0,2905.25,2790.0,2799.449951171875,717424,0,0
2022-03-04,2780.0,2780.0,2615.0,2628.0,1442169,0,0
2022-03-07,2555.0,2570.35009765625,2475.0,2553.449951171875,1381781,0,0
2022-03-08,2575.89990234375,2808.75,2518.050048828125,2577.35009765625,833178,0,0
2022-03-09,2618.0,2723.0,2578.5,2694.75,1094676,0,0
2022-03-10,2810.0,2837.550048828125,2719.0,2755.25,1046360,0,0
2022-03-11,2755.25,2879.39990234375,2727.75,2864.60009765625,947064,0,0
2022-03-14,2674.949951171875,2691.949951171875,2443.300048828125,2514.0,8367814,0,0
2022-03-15,2548.0,2589.39990234375,2483.25,2524.050048828125,3633936,0,0
2022-03-16,2559.10009765625,2588.5,2535.0,2563.449951171875,1751143,0,0
2022-03-17,2598.0,2614.39990234375,2551.0,2560.85009765625,1905644,0,0
2022-03-21,2585.0,2605.85009765625,2535.0,2552.64990234375,1251682,0,0
2022-03-22,2549.0,2640.0,2482.0,2621.35009765625,1601024,0,0
2022-03-23,2650.0,2692.949951171875,2626.550048828125,2651.300048828125,1572334,0,0
2022-03-24,2621.0,2654.300048828125,2604.35009765625,2618.949951171875,713562,0,0
2022-03-25,2630.0,2647.75,2601.050048828125,2617.10009765625,805597,0,0
