Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28,362.8500061035156,374.1000061035156,353.25,360.04998779296875,4212,0,0
2022-03-02,359.8500061035156,369.6000061035156,355.1000061035156,362.6499938964844,2236,0,0
2022-03-03,362.6499938964844,368.8999938964844,354.29998779296875,357.45001220703125,9321,0,0
2022-03-04,358.5,364.20001220703125,344.20001220703125,351.54998779296875,2922,0,0
2022-03-07,343.1499938964844,365.0,336.0,349.5,2373,0,0
2022-03-08,341.0,362.45001220703125,341.0,355.75,4630,0,0
2022-03-09,366.8500061035156,367.0,356.1499938964844,360.29998779296875,2799,0,0
2022-03-10,360.45001220703125,375.0,355.0,356.25,5209,0,0
2022-03-11,355.70001220703125,359.79998779296875,348.1499938964844,356.95001220703125,4850,0,0
2022-03-14,352.1499938964844,352.1499938964844,347.0,349.6499938964844,4473,0,0
2022-03-15,351.3500061035156,359.1499938964844,333.04998779296875,338.20001220703125,7290,0,0
2022-03-16,342.0,359.1000061035156,342.0,352.95001220703125,9613,0,0
2022-03-17,355.0,366.04998779296875,355.0,360.8500061035156,2853,0,0
2022-03-21,361.0,364.95001220703125,352.54998779296875,355.95001220703125,3534,0,0
2022-03-22,355.95001220703125,362.8999938964844,345.0,350.1499938964844,16739,0,0
2022-03-23,352.45001220703125,361.5,351.1000061035156,351.8999938964844,3733,0,0
2022-03-24,354.79998779296875,358.3500061035156,339.75,342.3999938964844,4388,0,0
2022-03-25,350.95001220703125,356.29998779296875,336.6000061035156,346.8999938964844,8425,0,0
